,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
2365,,,0.002,42.0,mnist_9_100.onnx,unsat/sat,2.169193983078003,242.0,242.0,abcrown,42.0 mnist_9_100.onnx 0.002,1,1,True
4006,,,0.002,66.0,mnist_9_200.onnx,unsat/sat,1.9418833255767824,366.0,366.0,abcrown,66.0 mnist_9_200.onnx 0.002,1,1,True
2367,,,0.002,42.0,mnist_9_200.onnx,unsat/sat,1.913135528564453,342.0,342.0,abcrown,42.0 mnist_9_200.onnx 0.002,1,1,True
2368,,MNIST,0.002,42.0,mnist_9_200.onnx,unsat,0.2647948265075684,729.0,42.0,bab,42.0 mnist_9_200.onnx 0.002,1,1,True
5308,,MNIST,0.002,85.0,mnist_3_100.onnx,unsat,0.1185386180877685,1453.0,85.0,bab,85.0 mnist_3_100.onnx 0.002,1,1,True
2377,,MNIST,0.002,42.0,mnist_net.onnx,unsat,0.1755514144897461,715.0,42.0,bab,42.0 mnist_net.onnx 0.002,1,1,True
2378,,,0.002,42.0,mnist_net.onnx,unsat,0.087,42.0,,eran,42.0 mnist_net.onnx 0.002,1,1,True
5300,,MNIST,0.002,85.0,fc2.onnx,sat,0.0701472759246826,1450.0,85.0,bab,85.0 fc2.onnx 0.002,1,1,True
2380,,MNIST,0.002,42.0,mnist_net_256x2.onnx,unsat,0.1283824443817138,717.0,42.0,bab,42.0 mnist_net_256x2.onnx 0.002,1,1,True
2381,,,0.002,42.0,mnist_net_256x2.onnx,unsat,0.041,742.0,,eran,42.0 mnist_net_256x2.onnx 0.002,1,1,True
2382,,MNIST,0.002,42.0,mnist_net_256x4.onnx,unsat,0.1505765914916992,718.0,42.0,bab,42.0 mnist_net_256x4.onnx 0.002,1,1,True
2383,,,0.002,42.0,mnist_net_256x4.onnx,unsat,0.185,542.0,,eran,42.0 mnist_net_256x4.onnx 0.002,1,1,True
4004,,MNIST,0.002,66.0,mnist_9_100.onnx,unsat,0.1602072715759277,1136.0,66.0,bab,66.0 mnist_9_100.onnx 0.002,1,1,True
5298,,,0.002,85.0,fc2.onnx,unsat,0.011,385.0,,eran,85.0 fc2.onnx 0.002,1,1,True
5310,,MNIST,0.002,85.0,mnist_3_50.onnx,unsat,0.0929980278015136,1454.0,85.0,bab,85.0 mnist_3_50.onnx 0.002,1,1,True
2359,,MNIST,0.002,42.0,mnist_6_100.onnx,unsat,0.1499195098876953,726.0,42.0,bab,42.0 mnist_6_100.onnx 0.002,1,1,True
2446,,MNIST,0.002,43.0,mnist_net_256x4.onnx,unsat,0.1513433456420898,735.0,43.0,bab,43.0 mnist_net_256x4.onnx 0.002,1,1,True
