,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
5557,,,0.002,89.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.701,489.0,,eran,89.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
5494,,,0.002,88.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.756,488.0,,eran,88.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4797,,,0.002,78.0,fc_2_2sigmoids_3.onnx,unsat,0.001,678.0,,eran,78.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
5490,,,0.002,88.0,fc_2_2sigmoids_3.onnx,unsat,0.001,688.0,,eran,88.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4802,,,0.002,78.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.82,478.0,,eran,78.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4862,,,0.002,79.0,fc_2_2sigmoids_3.onnx,unsat,0.001,679.0,,eran,79.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4865,,,0.002,79.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.805,479.0,,eran,79.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4923,,,0.002,8.0,fc_2_2sigmoids_3.onnx,unsat,0.001,608.0,,eran,8.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4928,,,0.002,8.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.691,408.0,,eran,8.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
4988,,,0.002,80.0,fc_2_2sigmoids_3.onnx,unsat,0.001,680.0,,eran,80.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
4989,,,0.002,80.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.738,480.0,,eran,80.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
5049,,,0.002,81.0,fc_2_2sigmoids_3.onnx,unsat,0.001,681.0,,eran,81.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
5054,,,0.002,81.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.735,481.0,,eran,81.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
5114,,,0.002,82.0,fc_2_2sigmoids_3.onnx,unsat,0.001,682.0,,eran,82.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
5115,,,0.002,82.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.623,482.0,,eran,82.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
5176,,,0.002,83.0,fc_2_2sigmoids_3.onnx,unsat,0.001,683.0,,eran,83.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
5179,,,0.002,83.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.739,483.0,,eran,83.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
5240,,,0.002,84.0,fc_2_2sigmoids_3.onnx,unsat,0.001,684.0,,eran,84.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
5242,,,0.002,84.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.743,484.0,,eran,84.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
5303,,,0.002,85.0,fc_2_2sigmoids_3.onnx,unsat,0.001,685.0,,eran,85.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
5305,,,0.002,85.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.697,485.0,,eran,85.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
5364,,,0.002,86.0,fc_2_2sigmoids_3.onnx,unsat,0.001,686.0,,eran,86.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
5367,,,0.002,86.0,ffnnSIGMOID__Point_6x200.onnx,unsat,1.789,486.0,,eran,86.0 ffnnSIGMOID__Point_6x200.onnx 0.002,1,1,True
5429,,,0.002,87.0,fc_2_2sigmoids_3.onnx,unsat,0.001,687.0,,eran,87.0 fc_2_2sigmoids_3.onnx 0.002,1,1,True
