,0,Dataset,Epsilon,Image,Network,Result,TotalTime,Unnamed: 0,Unnamed: 0.1,Verifier,instance,score,solved,solved_bool
5313,,,0.002,45.0,cifar_conv_maxpool.onnx,unsat,519.137,3745.0,,eran,45.0 cifar_conv_maxpool.onnx 0.002,1,1,True
5183,,,0.002,44.0,cifar_conv_maxpool.onnx,unsat,19.139,3744.0,,eran,44.0 cifar_conv_maxpool.onnx 0.002,1,1,True
5051,,,0.002,43.0,cifar_conv_maxpool.onnx,unsat,639.511,3743.0,,eran,43.0 cifar_conv_maxpool.onnx 0.002,1,1,True
4917,,,0.002,42.0,cifar_conv_maxpool.onnx,unsat,32.654,3742.0,,eran,42.0 cifar_conv_maxpool.onnx 0.002,1,1,True
4787,,,0.002,41.0,cifar_conv_maxpool.onnx,unsat,626.055,3741.0,,eran,41.0 cifar_conv_maxpool.onnx 0.002,1,1,True
4654,,,0.002,40.0,cifar_conv_maxpool.onnx,unsat,23.258,3740.0,,eran,40.0 cifar_conv_maxpool.onnx 0.002,1,1,True
4521,,,0.002,4.0,cifar_conv_maxpool.onnx,unsat,24.961,3704.0,,eran,4.0 cifar_conv_maxpool.onnx 0.002,1,1,True
4391,,,0.002,39.0,cifar_conv_maxpool.onnx,unsat,590.257,3739.0,,eran,39.0 cifar_conv_maxpool.onnx 0.002,1,1,True
4259,,,0.002,38.0,cifar_conv_maxpool.onnx,unsat,455.35,3738.0,,eran,38.0 cifar_conv_maxpool.onnx 0.002,1,1,True
4125,,,0.002,37.0,cifar_conv_maxpool.onnx,unsat,24.188,3737.0,,eran,37.0 cifar_conv_maxpool.onnx 0.002,1,1,True
3995,,,0.002,36.0,cifar_conv_maxpool.onnx,unsat,29.069,3736.0,,eran,36.0 cifar_conv_maxpool.onnx 0.002,1,1,True
3862,,,0.002,35.0,cifar_conv_maxpool.onnx,unsat,24.138,3735.0,,eran,35.0 cifar_conv_maxpool.onnx 0.002,1,1,True
3730,,,0.002,34.0,cifar_conv_maxpool.onnx,unsat,524.344,3734.0,,eran,34.0 cifar_conv_maxpool.onnx 0.002,1,1,True
3598,,,0.002,33.0,cifar_conv_maxpool.onnx,unsat,636.133,3733.0,,eran,33.0 cifar_conv_maxpool.onnx 0.002,1,1,True
13100,,,0.002,99.0,cifar_conv_maxpool.onnx,unsat,22.471,3799.0,,eran,99.0 cifar_conv_maxpool.onnx 0.002,1,1,True
