,0,Dataset,Epsilon,Network,Image,Result,TotalTime,Unnamed: 0,Verifier,instance,solved_bool,solved,score
6136,,mnist,0.02,N14,MNIST_P1_N14,outofmemory,3600.0,1736.0,marabou,MNIST_P1_N14 N14 0.02,False,0,0
6135,,mnist,0.02,N49,MNIST_P79_N49,outofmemory,3600.0,1735.0,marabou,MNIST_P79_N49 N49 0.02,False,0,0
6119,,mnist,0.02,N5,MNIST_P68_N5,timeout,3600.0,1719.0,marabou,MNIST_P68_N5 N5 0.02,False,0,0
6112,,mnist,0.02,N18,MNIST_P49_N18,timeout,3600.0,1712.0,marabou,MNIST_P49_N18 N18 0.02,False,0,0
6105,,mnist,0.02,N48,MNIST_P20_N48,outofmemory,3600.0,1705.0,marabou,MNIST_P20_N48 N48 0.02,False,0,0
5832,,mnist,0.02,N18,MNIST_P52_N18,timeout,3600.0,1432.0,marabou,MNIST_P52_N18 N18 0.02,False,0,0
5818,,mnist,0.02,N14,MNIST_P89_N14,outofmemory,3600.0,1418.0,marabou,MNIST_P89_N14 N14 0.02,False,0,0
5447,,mnist,0.02,N5,MNIST_P67_N5,timeout,3600.0,1047.0,marabou,MNIST_P67_N5 N5 0.02,False,0,0
5566,,mnist,0.02,N49,MNIST_P53_N49,outofmemory,3600.0,1166.0,marabou,MNIST_P53_N49 N49 0.02,False,0,0
5619,,mnist,0.02,N5,MNIST_P80_N5,timeout,3600.0,1219.0,marabou,MNIST_P80_N5 N5 0.02,False,0,0
5617,,mnist,0.02,N14,MNIST_P88_N14,outofmemory,3600.0,1217.0,marabou,MNIST_P88_N14 N14 0.02,False,0,0
5610,,mnist,0.02,N5,MNIST_P40_N5,outofmemory,3600.0,1210.0,marabou,MNIST_P40_N5 N5 0.02,False,0,0
5595,,mnist,0.02,N49,MNIST_P57_N49,outofmemory,3600.0,1195.0,marabou,MNIST_P57_N49 N49 0.02,False,0,0
5594,,mnist,0.02,N48,MNIST_P21_N48,outofmemory,3600.0,1194.0,marabou,MNIST_P21_N48 N48 0.02,False,0,0
5587,,mnist,0.02,N14,MNIST_P11_N14,outofmemory,3600.0,1187.0,marabou,MNIST_P11_N14 N14 0.02,False,0,0
5580,,mnist,0.02,N18,MNIST_P77_N18,timeout,3600.0,1180.0,marabou,MNIST_P77_N18 N18 0.02,False,0,0
5568,,mnist,0.02,N48,MNIST_P88_N48,outofmemory,3600.0,1168.0,marabou,MNIST_P88_N48 N48 0.02,False,0,0
5559,,mnist,0.02,N49,MNIST_P61_N49,outofmemory,3600.0,1159.0,marabou,MNIST_P61_N49 N49 0.02,False,0,0
5807,,mnist,0.02,N5,MNIST_P3_N5,timeout,3600.0,1407.0,marabou,MNIST_P3_N5 N5 0.02,False,0,0
5557,,mnist,0.02,N18,MNIST_P26_N18,timeout,3600.0,1157.0,marabou,MNIST_P26_N18 N18 0.02,False,0,0
5534,,mnist,0.02,N48,MNIST_P42_N48,outofmemory,3600.0,1134.0,marabou,MNIST_P42_N48 N48 0.02,False,0,0
5533,,mnist,0.02,N48,MNIST_P73_N48,outofmemory,3600.0,1133.0,marabou,MNIST_P73_N48 N48 0.02,False,0,0
5527,,mnist,0.02,N18,MNIST_P87_N18,timeout,3600.0,1127.0,marabou,MNIST_P87_N18 N18 0.02,False,0,0
5525,,mnist,0.02,N49,MNIST_P55_N49,outofmemory,3600.0,1125.0,marabou,MNIST_P55_N49 N49 0.02,False,0,0
5514,,mnist,0.02,N49,MNIST_P19_N49,outofmemory,3600.0,1114.0,marabou,MNIST_P19_N49 N49 0.02,False,0,0
5496,,mnist,0.02,N5,MNIST_P17_N5,timeout,3600.0,1096.0,marabou,MNIST_P17_N5 N5 0.02,False,0,0
5495,,mnist,0.02,N49,MNIST_P35_N49,outofmemory,3600.0,1095.0,marabou,MNIST_P35_N49 N49 0.02,False,0,0
5460,,mnist,0.02,N14,MNIST_P76_N14,outofmemory,3600.0,1060.0,marabou,MNIST_P76_N14 N14 0.02,False,0,0
5455,,mnist,0.02,N5,MNIST_P44_N5,timeout,3600.0,1055.0,marabou,MNIST_P44_N5 N5 0.02,False,0,0
5451,,mnist,0.02,N18,MNIST_P31_N18,timeout,3600.0,1051.0,marabou,MNIST_P31_N18 N18 0.02,False,0,0
